% this file was created on 13-Jun-2013 18:08:00 
%
% SC:        Cluster 1 
% Intrument: EFW 
% Signal:    P 
% Sensor:    1234 
% Coord Sys: sc 
%
% comment:   this signal is averaged from all probes available at the time 
%
%
% Time from: 27-May-2011 00:00:00 
%
% time        P1234     
% [s]         [V]       
25200.174607  -10.274 
25200.374602  -10.402 
25200.574597  -10.494 
25200.774592  -10.546 
25200.974587  -10.498 
25201.174582  -10.283 
25201.374578  -10.226 
25201.574573   -9.948 
25201.774568  -10.101 
25201.974563  -10.266 
25202.174559  -10.392 
25202.374554  -10.592 
25202.574548  -10.657 
25202.774543  -10.756 
25202.974538  -10.737 
25203.174534  -10.586 
25203.374529  -10.438 
25203.574524  -10.235 
25203.774519  -10.080 
25203.974514  -10.107 
25204.174510  -10.279 
25204.374505  -10.352 
25204.574500  -10.454 
25204.774495  -10.572 
25204.974490  -10.636 
25205.174486  -10.584 
25205.374481  -10.410 
25205.574476  -10.304 
25205.774472  -10.067 
25205.974467  -10.182 
25206.174462  -10.352 
25206.374457  -10.482 
25206.574452  -10.659 
25206.774448 1570000000.000 
25206.974443 1570000000.000 
25207.174438 1570000000.000 
25207.374433 1570000000.000 
25207.574427 1570000000.000 
25207.774423 1570000000.000 
25207.974418 1570000000.000 
25208.174413 1570000000.000 
25208.374408 1570000000.000 
25208.574404 1570000000.000 
25208.774399 1570000000.000 
25208.974394 1570000000.000 
25209.174389 1570000000.000 
25209.374384 1570000000.000 
25209.574379 1570000000.000 
25209.774375 1570000000.000 
25209.974370 1570000000.000 
25210.174365 1570000000.000 
25210.374360 1570000000.000 
25210.574356 1570000000.000 
25210.774351  -10.559 
25210.974346  -10.645 
25211.174341  -10.772 
25211.374336  -10.733 
25211.574332  -10.578 
25211.774327  -10.404 
25211.974322  -10.216 
25212.174317  -10.005 
25212.374312  -10.013 
25212.574307  -10.174 
25212.774302  -10.228 
25212.974297  -10.364 
25213.174292  -10.436 
25213.374288  -10.511 
25213.574283  -10.490 
25213.774278  -10.274 
25213.974273  -10.199 
25214.174268   -9.936 
25214.374264  -10.040 
25214.574259  -10.168 
25214.774254  -10.308 
25214.974249  -10.469 
25215.174245  -10.555 
25215.374240  -10.641 
25215.574235  -10.622 
25215.774230  -10.498 
25215.974225  -10.335 
25216.174221  -10.172 
25216.374216   -9.961 
25216.574211   -9.969 
25216.774206  -10.151 
25216.974201  -10.226 
25217.174197  -10.360 
25217.374192  -10.442 
25217.574186  -10.530 
25217.774181  -10.532 
25217.974176  -10.337 
25218.174172  -10.218 
25218.374167   -9.965 
25218.574162  -10.051 
25218.774158  -10.210 
25218.974153  -10.360 
25219.174148  -10.519 
25219.374143  -10.620 
25219.574138  -10.695 
25219.774133  -10.682 
25219.974128  -10.555 
25220.174124  -10.369 
25220.374119  -10.216 
25220.574114   -9.984 
25220.774110   -9.986 
25220.974105  -10.153 
25221.174100  -10.220 
25221.374095  -10.369 
25221.574090  -10.440 
25221.774086  -10.540 
25221.974081  -10.526 
25222.174076  -10.344 
25222.374071  -10.233 
25222.574066  -10.019 
25222.774061  -10.105 
25222.974056  -10.247 
25223.174051  -10.410 
25223.374047  -10.561 
25223.574042  -10.647 
25223.774037  -10.758 
25223.974032  -10.733 
25224.174027  -10.634 
25224.374022  -10.450 
25224.574018  -10.297 
25224.774013  -10.051 
25224.974008  -10.069 
25225.174003  -10.212 
25225.373999  -10.281 
25225.573994  -10.425 
25225.773989  -10.469 
25225.973984  -10.563 
25226.173979  -10.546 
25226.373975  -10.364 
25226.573970  -10.233 
25226.773965  -10.011 
25226.973960  -10.044 
25227.173955  -10.143 
25227.373951  -10.297 
25227.573946  -10.419 
25227.773941  -10.513 
25227.973936  -10.611 
25228.173931  -10.605 
25228.373927  -10.490 
25228.573921  -10.266 
25228.773916  -10.132 
25228.973911   -9.879 
25229.173907   -9.890 
25229.373902  -10.030 
25229.573897  -10.103 
25229.773892  -10.245 
25229.973887  -10.302 
25230.173883  -10.415 
25230.373878  -10.419 
25230.573873  -10.258 
25230.773869  -10.136 
25230.973864   -9.942 
25231.173859   -9.952 
25231.373854  -10.059 
25231.573849  -10.220 
25231.773844  -10.350 
25231.973840  -10.473 
25232.173835  -10.534 
25232.373830  -10.532 
25232.573825  -10.431 
25232.773821  -10.220 
25232.973816  -10.090 
25233.173811   -9.850 
25233.373806   -9.871 
25233.573801  -10.023 
25233.773796  -10.107 
25233.973791  -10.239 
25234.173786  -10.297 
25234.373781  -10.429 
