% this file was created on 13-Jun-2013 18:08:00 
%
% SC:        Cluster 1 
% Intrument: EFW 
% Signal:    P 
% Sensor:    1234 
% Coord Sys: sc 
%
% comment:   this signal is averaged from all probes available at the time 
%
%
% Time from: 27-May-2011 00:00:00 
%
% time        P1234     
% [s]         [V]       
25202.174607     -1.038e+01
25206.174607     -1.042e+01
25210.174607     -1.049e+01
25214.174607     -1.032e+01
25218.174607     -1.034e+01
25222.174607     -1.036e+01
25226.174607     -1.033e+01
25230.174607     -1.020e+01
25234.174607     -1.019e+01
25238.174607     -1.021e+01
25242.174607     -1.025e+01
25246.174607     -1.022e+01
25250.174607     -1.010e+01
25254.174607     -1.010e+01
25258.174607     -1.010e+01
25262.174607     -1.008e+01
25266.174607     -1.001e+01
25270.174607     -9.963e+00
25274.174607     -9.909e+00
25278.174607     -9.907e+00
25282.174607     -9.865e+00
25286.174607     -9.777e+00
25290.174607     -9.860e+00
25294.174607     -9.937e+00
25298.174607     -9.958e+00
25302.174607     -9.992e+00
25306.174607     -1.002e+01
25310.174607     -1.002e+01
25314.174607     -9.947e+00
25318.174607     -9.935e+00
25322.174607     -9.889e+00
25326.174607     -9.847e+00
25330.174607     -9.867e+00
25334.174607     -9.843e+00
25338.174607     -9.729e+00
25342.174607     -9.599e+00
25346.174607     -9.543e+00
25350.174607     -9.565e+00
25354.174607     -9.570e+00
25358.174607     -9.627e+00
25362.174607     -9.734e+00
25366.174607     -9.717e+00
25370.174607     -9.713e+00
25374.174607     -9.733e+00
25378.174607     -9.697e+00
25382.174607     -9.597e+00
25386.174607     -9.612e+00
25390.174607     -9.633e+00
25394.174607     -9.609e+00
25398.174607     -9.727e+00
25402.174607     -9.810e+00
25406.174607     -9.847e+00
25410.174607     -9.820e+00
25414.174607     -9.846e+00
25418.174607     -9.931e+00
25422.174607     -9.939e+00
25426.174607     -9.922e+00
25430.174607     -9.936e+00
25434.174607     -9.868e+00
25438.174607     -9.824e+00
25442.174607            NaN
25446.174607            NaN
25450.174607            NaN
25454.174607     -1.032e+01
25458.174607     -1.021e+01
25462.174607     -1.059e+01
25466.174607     -1.151e+01
25470.174607     -1.293e+01
25474.174607     -1.342e+01
25478.174607     -1.246e+01
25482.174607     -1.084e+01
25486.174607     -1.079e+01
25490.174607     -1.086e+01
25494.174607     -1.129e+01
25498.174607     -1.116e+01
25502.174607     -1.125e+01
25506.174607     -1.132e+01
25510.174607     -1.106e+01
25514.174607     -1.128e+01
25518.174607     -1.116e+01
25522.174607     -1.081e+01
25526.174607     -1.075e+01
25530.174607     -1.223e+01
25534.174607     -1.293e+01
25538.174607     -1.235e+01
25542.174607     -1.252e+01
25546.174607     -1.363e+01
